player_id,name,position,age,height,experience_years,match_date,match_num,spike_attempts,spike_success,spike_accuracy,block_attempts,blocks,serve_attempts,aces,serves,dig_attempts,digs,errors,reaction_time,match_duration,team_score,opponent_score,won_match,performance_score,energy_level,mood_score
0,Parker Davis,Setter,20,167.3467556141043,3,2024-05-29 12:46:11.534508,1,16,7,39.53,11,2.8991482909422253,24,2,2/24,40,28.009211352409114,4,292.0,97,19,15,True,61.38,0.9,0.58
0,Parker Davis,Setter,20,167.3467556141043,3,2024-05-29 12:46:11.534553,2,25,13,33.8,11,7.68918148811264,20,2,2/20,31,16.24826162853209,5,296.5,62,22,23,False,58.27,0.65,0.96
0,Parker Davis,Setter,20,167.3467556141043,3,2025-05-16 12:46:11.534571,3,32,17,39.95,18,8.720461814210612,20,4,4/20,21,12.032807840250664,7,298.9,65,18,16,True,64.51,0.75,0.73
0,Parker Davis,Setter,20,167.3467556141043,3,2024-07-27 12:46:11.534585,4,20,11,48.14,11,4.268653108895942,25,5,5/25,25,15.754766100719854,2,286.3,84,19,25,False,63.63,0.88,0.61
0,Parker Davis,Setter,20,167.3467556141043,3,2024-09-06 12:46:11.534595,5,16,8,39.18,8,3.162200416245131,21,2,2/21,38,24.289762972083746,3,291.3,91,21,25,False,59.72,0.78,0.63
0,Parker Davis,Setter,20,167.3467556141043,3,2024-11-25 12:46:11.534605,6,32,19,50.53,19,10.752476186177784,24,3,3/24,24,14.466633083581012,1,345.6,115,16,17,False,65.11,0.85,0.9
0,Parker Davis,Setter,20,167.3467556141043,3,2024-05-29 12:46:11.534615,7,34,16,34.64,14,5.820750578913418,22,6,6/22,20,11.041052838186271,1,338.2,94,19,25,False,65.43,0.74,0.65
0,Parker Davis,Setter,20,167.3467556141043,3,2025-02-24 12:46:11.534624,8,29,13,37.82,19,8.069874879847443,19,5,5/19,36,25.30764253725807,7,332.5,113,25,23,True,66.11,0.84,0.58
0,Parker Davis,Setter,20,167.3467556141043,3,2025-02-20 12:46:11.534633,9,32,23,68.37,16,11.681696671787964,24,2,2/24,31,24.731299831722023,7,350.7,75,15,18,False,61.0,0.95,0.97
0,Parker Davis,Setter,20,167.3467556141043,3,2025-05-09 12:46:11.534643,10,30,21,63.15,20,10.139205792597728,17,2,2/17,37,20.74843980904941,5,357.2,87,18,23,False,57.79,0.9,0.84
0,Parker Davis,Setter,20,167.3467556141043,3,2024-09-19 12:46:11.534652,11,27,20,46.55,18,8.155514786350494,23,3,3/23,22,8.797561281650582,5,325.4,97,18,15,True,68.67,0.63,0.82
0,Parker Davis,Setter,20,167.3467556141043,3,2024-12-13 12:46:11.534661,12,17,12,47.73,13,2.7423270355720586,18,2,2/18,37,14.875607246384526,5,327.6,75,22,21,True,62.98,0.68,0.55
0,Parker Davis,Setter,20,167.3467556141043,3,2024-05-20 12:46:11.534670,13,26,15,39.04,15,8.449571646506893,15,4,4/15,23,8.7962683751366,6,303.9,115,16,18,False,56.61,0.68,0.77
0,Parker Davis,Setter,20,167.3467556141043,3,2025-03-14 12:46:11.534679,14,28,14,48.53,15,6.470435070450069,16,3,3/16,37,21.352029450471523,6,369.9,113,15,16,False,47.98,0.97,0.92
0,Parker Davis,Setter,20,167.3467556141043,3,2025-02-15 12:46:11.534688,15,28,16,49.41,11,5.946685646617318,15,1,1/15,32,18.15971902038626,7,348.5,78,21,23,False,52.15,0.86,0.74
0,Parker Davis,Setter,20,167.3467556141043,3,2025-01-22 12:46:11.534697,16,24,12,49.22,8,2.7002786631014675,23,2,2/23,21,14.764673419646702,5,361.9,93,17,15,True,63.52,0.98,0.54
0,Parker Davis,Setter,20,167.3467556141043,3,2025-01-26 12:46:11.534705,17,17,10,48.59,18,8.556403998848728,21,4,4/21,27,16.521815390752717,1,331.9,86,25,24,True,78.72,0.83,0.66
0,Parker Davis,Setter,20,167.3467556141043,3,2024-11-10 12:46:11.534714,18,21,13,61.87,13,5.988289343565283,21,3,3/21,34,21.986399079519092,7,363.6,60,22,24,False,49.6,1.0,1.0
0,Parker Davis,Setter,20,167.3467556141043,3,2025-05-21 12:46:11.534723,19,32,16,49.68,12,4.517749858162857,20,6,6/20,31,19.870826482011857,4,353.4,105,19,24,False,54.24,0.99,0.9
0,Parker Davis,Setter,20,167.3467556141043,3,2024-02-10 12:46:11.534732,20,15,9,50.52,16,6.870448748555192,25,5,5/25,28,14.312842823805523,1,344.2,69,19,19,False,62.14,0.84,0.86
0,Parker Davis,Setter,20,167.3467556141043,3,2025-01-08 12:46:11.534754,21,35,24,61.47,16,6.982561895068761,15,2,2/15,28,14.343877813426758,3,347.1,100,19,17,True,69.92,0.9,0.78
0,Parker Davis,Setter,20,167.3467556141043,3,2024-05-24 12:46:11.534764,22,32,14,41.98,9,4.235267884189139,17,4,4/17,38,26.867955929096517,4,282.7,79,20,15,True,70.12,0.96,0.61
0,Parker Davis,Setter,20,167.3467556141043,3,2024-11-22 12:46:11.534774,23,18,10,37.32,16,11.546923771449272,21,5,5/21,27,14.778373838080222,7,351.1,116,21,15,True,68.72,0.67,0.96
0,Parker Davis,Setter,20,167.3467556141043,3,2024-06-09 12:46:11.534783,24,22,11,30.47,20,8.35190851829396,21,6,6/21,27,10.36091815596987,4,305.0,112,18,18,False,59.31,0.61,0.6
